path_seed,variant,steady_atten_db,mean_recovery_ms,max_recovery_ms
1,A,9.433141745587243,355.90972222222223,1000.0
1,B,9.174104682732048,365.2638888888889,1000.0
1,C,9.420926212614212,555.2986111111112,1000.0
2,A,1.8977637351178993,351.84722222222223,1000.0
2,B,1.7568061246863198,28.125,28.833333333333332
2,C,1.875263539734712,351.8541666666667,1000.0
3,A,3.294131181478625,351.40277777777777,1000.0
3,B,4.857630977173071,351.4583333333333,1000.0
3,C,3.2974774216648535,351.40277777777777,1000.0
4,A,9.562029293966756,192.74305555555554,422.125
4,B,9.455050018919314,194.68055555555554,423.4583333333333
4,C,9.541832396704299,429.53472222222223,731.25
5,A,14.470835753902527,513.2708333333334,865.8125
5,B,12.305937097279912,255.19444444444446,583.3125
5,C,14.496244868171043,513.5625,866.9166666666666
6,A,13.319517577652809,230.36805555555554,569.4791666666666
6,B,10.855401672376752,240.1736111111111,579.875
6,C,13.351848074223282,577.1597222222223,1000.0
